,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
 Net worth/Assets,-0.5667533212020606,0.5984106257355726,0.5802909234785943,0.5944146736534837,0.18145504472454557,0.18096147836420648,0.38677781420434953,0.635659804675026,0.623822520614546,0.5702200500756258,0.5860856511735412,-0.01273230215494249,0.23350934919272442,0.542014054494242,-0.11439582488963337,0.2859305096512769,0.7166314276931639,0.7166314276931639,0.6893170274642366,0.642700774982023,0.42545201072536604,-0.2343027258757006,0.32055524080342757,0.6479124302357544,-0.2519626120548085,-0.09494040157183013,0.14626085737785,0.14905499143857429,0.24381991670030653,0.20347246123912446,0.6279901651611317,0.38743006298702387,0.4760215099367521,0.6476946210730098,0.600272237123842,-0.14756533079728065,-0.7623343282259893,-1.0000000000000004,1.0,0.44242753446646,-0.08139092365360184,-0.20909094267735098,0.31799797060554796,0.6482997240534396,-0.003897133135859546,-0.061690367654664596,-0.11693963027237345,0.14411001651040173,0.16962268143042333,0.07294900016854128,-0.5305285980598207,-0.11447305335877428,0.3677077422516515,-0.2137376862246492,0.6916393980120401,-0.06027617721749707,-0.05669976489768881,0.13878538206813754,0.6017831803813379,-0.15458256841422988,-0.8074971875804201,0.5455617281662728,0.0012513375091565782,0.5135266246547199,-0.013299229718373537,0.25195586699907163,-0.009799431166383732,-0.174420222885449,0.7313250541508213,0.5821575094180097,-0.37110880530421503,-0.21455913312380653,-0.10619981317260571,0.2809888488708437,0.181120710521127,0.08908303642383006,-0.1301902623225649,-0.013299229718373537,-0.009799431166383732,-0.004238216010176126,0.07498558004740519,0.18157654901167686,0.5123940082478472,0.4582284255518414,-0.7154645126444982,-0.37690400789586903,0.6303881225184426,-0.11594099197107426,0.39568514071705807,0.18145018006123076,-0.29043631512427737,-0.055681949431826534,-0.15585223308120194,0.052875516317009985,,0.8596755862430436
 Long-term fund suitability ratio (A),-0.22769870189071248,0.16624738843864853,0.217115816059407,0.1783347041698385,-0.023357800296675498,-0.023693542825394938,0.05973570398794228,0.4944674583554607,0.5080949827859275,0.5765672898319161,0.5003187019569322,-0.10471649552327911,0.3391265833161298,0.01923540881346253,-0.2824882676297275,-0.07309984553946504,0.38596163273894674,0.38596163273894674,0.3760578815699502,0.25780783085099035,-0.09578552976210222,-0.21685855325315714,-0.03479808440912044,0.24163248620697714,-0.052863095788695344,0.11079292929628481,0.02052772244321419,0.02699848217204585,0.08171128128278503,0.0983749048436042,0.2129469735332327,0.12481964630361272,-0.08639348127819958,0.14365254751988685,0.09687029596032225,-0.11946505743152881,-0.3005790950164223,-0.44242753446645894,0.44242753446646,1.0,-0.07663945903420033,0.013907230183205178,-0.034900501306660475,0.24269679703892771,-0.0936430803858053,-0.15334639963451002,-0.07658969465870583,0.04483784199641535,0.26914629755822067,-0.016134889283938175,-0.28672241073391197,-0.12327813069674386,0.06506008466186158,-0.19536076555161805,0.23614307892512304,-0.15748116206139862,-0.17283236353811618,-0.13739831434773495,0.11812390541926672,-0.06350987855200052,-0.42167748225084145,-0.04370459004280165,0.004819309906693493,0.1522048589724691,-0.1980774446886789,0.14541234720016985,-0.07626832503086227,0.21296959280208141,0.37600663094522285,0.4039404829514814,-0.24683557932819486,-0.20014552234432467,-0.2585124474320968,0.12720989589745377,-0.12574653721086104,-0.03460051040228975,-0.7143217000329407,-0.1980774446886789,-0.07626832503086227,0.01762542170748203,0.04703157678657545,0.018124594152941095,-0.09328458510938321,0.15437435589719303,-0.28867136241840446,-0.10958278077396022,0.24814142167869618,0.25248152080956127,0.12363442117533582,-0.02335327018719934,-0.06877669380255365,-0.08706485396855304,-0.11318170749750713,0.030630573113463413,,0.37260993001922704
 Borrowing dependency,0.048999662612239404,0.5428011258553304,0.6027695533623485,0.5803725371157321,-0.08267419656670928,-0.08244014521540378,0.05224195196462154,0.06737537868503962,0.08771252305856889,0.05433804058851295,0.07373300150374593,0.08333146888213186,-0.06732792362017975,-0.14010867897349694,0.1711060032160082,-0.04410184266443644,0.11742435023323328,0.11742435023323328,0.11801599306164896,0.4236445418178947,0.02557809143706447,0.012181776879778566,0.2169086685179621,0.40358811604650774,0.10024576316577974,0.10608094637821364,0.0908149992400992,0.08900025623896628,0.4450451425098097,-0.17185126940010811,0.4648292190480837,0.7785269444354938,0.4073222128042321,-0.22336909994570764,-0.22492967510876216,0.16424898334583685,-0.5169741845424197,0.08139092365360182,-0.08139092365360184,-0.07663945903420033,1.0,0.5205455777239283,0.21245578994400133,0.38657268340983303,0.8655620192329158,-0.18658156863459247,0.04405396535986674,-0.01567447003593295,0.0035613542533111477,0.014526931389102313,-0.32695489352067886,-0.008072264640586793,0.17568416590200797,0.16209297815205817,-0.1926238882576662,-0.25807831518508634,-0.18689075958864027,-0.388233316057908,-0.23170119829491526,0.02705806096137698,0.03210827288085832,-0.11078909060624484,-0.0014348348738032566,-0.11677690457702795,-0.004517192921116749,-0.8162860529995626,0.981362907994619,0.10666959350123321,0.24869710305549828,-0.03133203092332594,-0.5541235409886105,-0.05790298018235682,-0.033600279091283304,-0.1429857134670384,-0.3209362765611706,-0.21517911508652235,0.16862555002739363,-0.004517192921116749,0.981362907994619,0.8785444340888661,-0.4972538171277112,-0.18971598720339664,0.03959757559677987,0.7741390225337641,0.2877748065700952,-0.8702359119785669,0.5297197905917496,0.07339538191438412,-0.2718636531192017,-0.08265480503148284,-0.9002610770813849,0.9877170889704787,0.042000331362478334,-0.014332001111904009,,-0.2013851234547434
 Contingent liabilities/Net worth,0.19840414060229333,0.07478807339240152,0.15061440225420897,0.10326269374283503,-0.05554534504544815,-0.05535917457769001,-0.03265021563765343,-0.05742328149650499,-0.036339751375641355,-0.0526772895406933,-0.06798004207440207,0.12325156598364752,0.10789084468314451,-0.16282013444170618,0.07242110682401467,-0.21838069612786723,-0.1400428691513649,-0.1400428691513649,-0.13389250754883933,-0.01236018872191137,-0.141474788213434,0.028920202605708503,0.00254503602607238,-0.012403275301497424,0.023581751677950083,0.11631654485780689,0.03214837872963835,0.03221340763087962,0.15668896839601265,-0.3623540162132501,0.10347009070431949,0.26949988081962234,0.05836978315258905,-0.23010127332030697,-0.26594513888851784,0.017806480841533728,-0.09128710818684634,0.20909094267735098,-0.20909094267735098,0.013907230183205178,0.5205455777239283,1.0,0.0012060364508269977,-0.02434327473461607,0.39923143821517554,-0.09181514816902536,0.2774721993177486,-0.22875058773526444,-0.0363737702170514,-0.14584987382146006,0.007068533555582743,0.03999589887678755,0.0356123095055963,0.015435479880609138,-0.25780232785328394,-0.2512056391876255,-0.18436817130290264,-0.35450403877747333,-0.25799048964934584,0.02645700669383029,0.10552197859826734,-0.18278175458875082,0.038955347654125456,-0.07211568132264379,-0.12436512750651942,-0.5055228740160507,0.500021220052214,0.31128257648677693,-0.03461677464743184,-0.14036359438270543,-0.17271275478813805,0.0037685819442304217,0.0776378566971871,-0.11325848079167866,-0.2526663653504059,-0.053449400819232024,-0.20244678811395475,-0.12436512750651942,0.500021220052214,0.4263460494317095,-0.2292577908249993,-0.11152000377540824,-0.12501711261248777,0.29545055770905965,0.23763725983529685,-0.35282627544936984,0.11493248028775932,0.3483858226611646,-0.19846097490450848,-0.05553518099120263,-0.3981828729151188,0.5066940838150198,-0.00869737576283851,-0.035370396956910057,,-0.24132338697702937
 Operating profit/Paid-in capital,-0.5723845187284528,0.7394087737509486,0.6635660210928106,0.6919875117938292,0.4586705660385301,0.45856630760380884,0.8740174718608366,0.4852926453658352,0.45606501721226134,0.11623876569800108,0.4526287156517495,0.01510454887104632,0.06744365322967584,0.4012593070067464,0.02967466706805273,0.5676885820417004,0.5704389423259584,0.5704389423259584,0.5593686364713308,0.7073154339124016,0.6679609536608573,0.26773114919112945,0.999650910767724,0.7295561974690409,-0.006200043917401807,0.1373932992491217,0.1519727154865516,0.15136228265142762,0.3181936620261854,0.1430455879873336,0.6525874118774044,0.39542753412722415,0.6146776154299519,0.23119660368552686,0.19612333534343723,0.05399154882057258,-0.4400729571248979,-0.31799797060554763,0.31799797060554796,-0.034900501306660475,0.21245578994400133,0.0012060364508269977,1.0,0.7333293544011632,0.3055498788962639,0.18309465603857708,0.05172072663554015,0.0064022494621863045,0.023787998535511546,-0.24831019522171935,-0.09768473399318342,0.06748470015053791,0.835843606288616,-0.12104596820252214,0.3727591536419072,0.13597210657549091,0.1560373115915357,0.055931293234103105,0.204191233580957,-0.09308792253652126,-0.25771881887595577,0.4579821580713435,-0.012510962494110232,0.20978941632907933,0.03342802732805111,0.04127812271407761,0.2313231984186443,-0.14385298136863464,0.5705365983413668,0.5689120425198084,-0.10595007810580152,0.06861392961425135,-0.01771735634391173,0.08786862055302457,-0.04756485803983296,0.12108613586346613,0.20907084772442008,0.03342802732805111,0.2313231984186443,0.29079802372519875,0.0478804274334004,0.1047520428502617,0.6428394008250118,0.4322749229946629,-0.35469454730447086,-0.3686250723487654,0.6711597939688604,-0.15633569049950538,0.20894698582614893,0.4586509338038448,-0.27693601216376484,0.21986873439437574,-0.05112093036942172,0.040632459947133166,,0.1575606961250396
 Net profit before tax/Paid-in capital,-0.6302847514955652,0.9547588520417758,0.9529693354519938,0.9415020962857992,0.30261555240961385,0.30232426113896976,0.6576499419903136,0.7509996190145836,0.7427359908914359,0.5630724297631399,0.6899330587303708,-0.0014506737026767822,0.16873482182347752,0.42269147670650736,-0.07747427839258669,0.434921653930731,0.7886791669479166,0.7886791669479166,0.7624216630347679,0.977161274416803,0.5772547663461818,0.009439380197226673,0.736486716455675,0.9988868107081695,-0.06685320633683899,0.04080732025266304,0.19203906773600662,0.19184815685151546,0.4234737959657311,0.17561735033138404,0.9328858219882995,0.7358352547208263,0.6833242382596035,0.3409214659400378,0.3052744202377134,0.11901025504049433,-0.8034886985751634,-0.648299724053439,0.6482997240534396,0.24269679703892771,0.38657268340983303,-0.02434327473461607,0.7333293544011632,1.0,0.42950933090928317,-0.031940839842866976,-0.07051856822697583,0.13761623260600608,0.10881217644907518,-0.08380729295226622,-0.4574878771451707,-0.014895504226462644,0.6812373121894325,-0.13339328657332777,0.47048002741308226,-0.09912708572753254,-0.06394120587186132,-0.06304850764333898,0.2944508463750572,-0.1525279346002975,-0.5734236066099648,0.4204143876138484,0.03823160548109832,0.3259754565324689,-0.08084865750332004,-0.10548956209941825,0.4117364628408741,-0.033244377991726,0.828244243395875,0.7085424714449381,-0.540261271254233,-0.04428312227072523,-0.1104097215712702,0.11688953781286567,-0.07421250808576665,0.02561499835667309,0.06078602285392875,-0.08084865750332004,0.4117364628408741,0.45827940225139535,-0.10991448875705684,0.03535039457464846,0.5907126942901002,0.7161061222008905,-0.47211720123133805,-0.6648812210298389,0.9666579427891601,-0.030336165473367798,0.2203433436320689,0.3026186011164512,-0.5432320808225726,0.3878309731606108,-0.009324440581341737,0.04879564739276402,,0.3922491372725015
 Inventory and accounts receivable/Net value,-0.01706955103702599,0.5824301418875598,0.6079472499935781,0.606751509520551,-0.16607083701256922,-0.1661319252395888,0.08270000387734354,0.05942239302623658,0.0733654494232693,0.02773476827504192,0.06926435589058207,0.19805748756126967,-0.19753222696088446,-0.10477136017192841,0.17244689262128948,0.0776506485009957,0.1767330880528719,0.1767330880528719,0.18951895475948785,0.4660157179975846,0.08682188001014578,0.3240520691039295,0.3101422556524547,0.43942529950489656,0.06003077991029213,0.08574266476477285,-0.028623098709461243,-0.029808526262607722,0.3368653459899329,-0.06987341442624884,0.4958584210992348,0.7368683051041739,0.40710883885342575,-0.037044827488741335,-0.07655306996406017,0.11981845686400022,-0.5283955994713433,0.0038971331358595793,-0.003897133135859546,-0.0936430803858053,0.8655620192329158,0.39923143821517554,0.3055498788962639,0.42950933090928317,1.0,0.16784329664224584,-0.009619364975428677,0.07653216408167925,-0.10081500001710489,-0.17620062448180732,-0.07355753592580569,0.09664142477549871,0.21372252623003354,0.0992288300721682,0.10515071557907855,0.08894539291376977,0.2312912661106619,-0.3195311528925982,-0.07922816020931892,0.11914389553477234,0.10542887796991662,-0.020075422589119752,-0.05239537277720462,0.0824880416835485,0.203722968235846,-0.5449305040442642,0.9041986562287861,-0.1774410276719409,0.3048078334979823,0.022550184066245975,-0.47355655929973567,0.03837082508462596,-0.056982817555002375,0.06843670358233614,-0.27801973607070735,-0.08826394484957899,0.09578011573282408,0.203722968235846,0.9041986562287861,0.6789143264558143,-0.3660842453231789,-0.10313229135213,0.1127743122198945,0.7499093011576664,0.021269836173240457,-0.8063176702847504,0.5536979638420797,-0.1309686561550117,-0.054568478506244765,-0.16606753667976298,-0.8176497939897625,0.870817758424324,-0.017140468127769832,0.04782586871199708,,-0.1461241499434761
 Total Asset Turnover,-0.05194143802835027,-0.02599104839662841,-0.10299379793843809,-0.03854987772556804,-0.32262268286461737,-0.3223103128489892,0.002301062551700044,-0.06025574027144269,-0.05768797094604058,-0.07557672191480437,0.004537539696535781,0.4550727450303968,-0.3680206748514318,0.009408669697611272,-0.06626881109215617,0.07078180947904364,-0.08518961171284638,-0.08518961171284638,-0.10292118371226645,-0.007560824881011334,0.21974808843886576,0.9286674709297884,0.1826574877093316,-0.03128744624766238,-0.14268379531863765,-0.04081708137809456,-0.39564264071439886,-0.39593457905663143,-0.3543585903102543,0.05772539375780219,-0.09883654535662152,-0.2081491537461711,-0.015492449111133224,0.09090662145532036,0.04640027651840172,-0.03907525571322192,0.12804141666968813,0.06169036765466463,-0.061690367654664596,-0.15334639963451002,-0.18658156863459247,-0.09181514816902536,0.18309465603857708,-0.031940839842866976,0.16784329664224584,1.0,0.4053698304785657,-0.29619884325913903,-0.33086202852162927,-0.40439885032407596,0.8024613039503109,0.5635160239392675,0.22227195120334814,-0.14412855856166218,0.29464859190063125,0.5943586751302135,0.6827155275378516,0.08308751896874843,0.06904688620149338,-0.14836721571326103,0.3283396023440984,0.13656308389862376,-0.010530202549297615,0.11056106076505728,0.4487964756683299,0.3217746339708888,-0.1350322420560451,-0.32504597943323466,-0.04065180206166911,0.046667077637407156,0.18308018221442882,0.27148037492300053,-0.1006715214194968,-0.07164420643661361,-0.11517731912565933,0.1905061613840742,-0.037222155730002475,0.4487964756683299,-0.1350322420560451,-0.2750478865612576,0.186555157578763,0.09951095143147108,0.1811770044316263,-0.1486675885473524,-0.1979846162507966,0.1920722870083298,-0.08624638275266792,-0.27388530107847125,0.1576729515849191,-0.3226493382282317,0.20582580181219648,-0.20548728169788025,-0.09825584353563754,0.11165444887776602,,-0.09340301787283349
 Accounts Receivable Turnover,0.13125205880995813,-0.045671311081617594,-0.05174481024867338,-0.03627304932124334,-0.14980271411819668,-0.14927145961251576,-0.08409919303394221,-0.1078934973245666,-0.10069536645787998,-0.08665375840195697,-0.10493298871312971,0.2071227784404295,-0.05993989926561135,0.14961522593281884,-0.29722882766219577,-0.15384515914058136,-0.026567574374839087,-0.026567574374839087,-0.02606786493296473,-0.06281180056735004,0.17843453113358143,0.4321172645590454,0.052607016514086474,-0.0689308546794953,0.01336686269784332,0.07154180979550392,-0.17510332038073007,-0.17535346891158096,-0.10813708464714307,-0.20639902369674717,-0.08791427615118044,-0.06353261635893286,0.01395481320294819,-0.12578649343256448,-0.17082779090055716,-0.05057441386029798,0.03767843179113795,0.1169396302723734,-0.11693963027237345,-0.07658969465870583,0.04405396535986674,0.2774721993177486,0.05172072663554015,-0.07051856822697583,-0.009619364975428677,0.4053698304785657,1.0,-0.8866949892231881,-0.2430493835053245,-0.054863583126485226,0.33217350317167826,0.6421063215158125,0.27786371694430884,0.2869214657444447,-0.13936449136022316,-0.19248439728379482,-0.10544261561426868,-0.23722395577037778,-0.1552077059708875,0.0312453450657846,0.051550219089231866,0.057003143494615036,0.17330920021815388,-0.004034670447476556,-0.08955943353292851,-0.07848161531592172,0.03402465405216767,0.17828032884456613,-0.07427490277595412,0.04795094356042109,0.004249910050662535,0.17576477592991302,-0.23017345417226656,-0.08744244277871988,-0.2559008297318201,-0.09792911274533561,0.060034383854253436,-0.08955943353292851,0.03402465405216767,0.06187925109898141,-0.14793284107943871,-0.1445332594671762,0.16288733460652627,-0.037106283120019734,0.09825741073179727,-0.007005682750577802,-0.053507855957128224,0.28299606735566846,-0.11906784492168855,-0.14979875516780658,-0.031196692972423362,0.04552211161889246,0.0017089707343933887,0.09776016078213468,,-0.17383238725787079
 Average Collection Days,-0.18518164374657403,0.10199003148301694,0.10566877962151583,0.08793203532267915,0.0383261414728443,0.037523930566038276,0.05757680891048156,0.12941002327019033,0.12445482480061341,0.12782169439522922,0.12867091586348994,-0.16225632910746005,0.05364364568600816,-0.0995137649000668,0.31129487286418533,0.19506243920970698,0.06625228918157132,0.06625228918157132,0.05912936046307058,0.11863257106018198,-0.0854997252192319,-0.2924131247114061,0.0035740369223977576,0.13530474629258288,-0.06830804562543946,-0.0792223927415054,0.17405970332032372,0.174497677346628,0.08667572306887183,0.19975021468639356,0.15104403978909084,0.07716312899280742,0.04261228880876233,0.143276144023849,0.16912083233012845,0.0011394007936542624,-0.07777749407290609,-0.14411001651040145,0.14411001651040173,0.04483784199641535,-0.01567447003593295,-0.22875058773526444,0.0064022494621863045,0.13761623260600608,0.07653216408167925,-0.29619884325913903,-0.8866949892231881,1.0,0.22171919229017054,0.03067067412417586,-0.25515765705851023,-0.3721308166171455,-0.11513922912116055,-0.2011548914274521,0.1791501685679044,0.20734241903401945,0.14790003163021392,0.20662104821093097,0.15053962407282248,-0.06472767010649166,-0.05451448895492174,-0.0138959111121155,-0.20947918202642637,0.07012369154266945,0.09601311280092428,0.08148938218285173,-0.00437925222041881,-0.1781163198908073,0.135240187221869,0.055548576789751385,-0.11828707666478078,-0.28474581783969444,0.17706797428053886,0.08651923117755748,0.21091308397973188,0.10624704332346824,-0.0194976376322788,0.09601311280092428,-0.00437925222041881,-0.045347946628847856,0.12636582472163546,0.13655716865773604,-0.0781399886822784,0.06308501084745222,-0.14366870487756697,-0.025383880139106335,0.10850921002974243,-0.33652891625961723,0.1394491700455093,0.03831564531088854,0.005990835857637349,-0.027488182833479563,-0.046376120126291456,-0.13503820075854903,,0.17041426099664633
